monthbeginning	monthbeginning
month beginning	monthbeginning
beginning of month	monthbeginning
start of month	monthbeginning
monthstart	monthstart
month start	monthstart

monthend	monthend
month end	monthend
end of month	monthend
eom	monthend
monthfinish	monthfinish
month finish	monthfinish

quarterbeginning	quarterbeginning
quarter beginning	quarterbeginning
beginning of quarter	quarterbeginning
start of quarter	quarterbeginning
quarterstart	quarterstart
quarter start	quarterstart

quarterend	quarterend
quarter end	quarterend
end of quarter	quarterend
quarterfinish	quarterfinish
quarter finish	quarterfinish

yearbeginning	yearbeginning
year beginning	yearbeginning
beginning of year	yearbeginning
start of year	yearbeginning
yearstart	yearstart
year start	yearstart

yearend	yearend
year end	yearend
end of year	yearend
eoy	yearend
yearfinish	yearfinish
year finish	yearfinish
